request_id	version	question	answer
req-0000	v2	What are the three main types of machine learning?	The three main types of machine learning are supervised learning, unsupervised learning, and reinforcement learning. In supervised learning, models are trained on labeled input-output pairs to learn a mapping function, whereas unsupervised learning involves discovering hidden patterns in unlabeled data. Additionally, reinforcement learning entails an agent learning to make decisions by interacting with an environment and receiving reward signals.
req-0001	v2	What is overfitting in machine learning?	Overfitting in machine learning occurs when a model learns the training data and its noise too well, resulting in poor generalization on new, unseen data. This happens because the model memorizes specific training samples rather than learning general patterns, which is also associated with high variance in the bias-variance tradeoff. Signs of this issue include a large gap between training and validation accuracy, though it can be countered using techniques like regularization, dropout, early stopping, or collecting more training data.
req-0002	v1	Explain the bias-variance tradeoff.	The bias-variance tradeoff is a fundamental concept in machine learning where high bias leads to underfitting and high variance leads to overfitting. The optimal model balances both to minimize total prediction error, which can be decomposed into bias squared, variance, and irreducible noise. The goal is to find the sweet spot where neither bias nor variance dominates.
req-0003	v1	How does regularization prevent overfitting?	Regularization prevents overfitting by discouraging overly complex models and adding penalty terms to the loss function. Specifically, L1 and L2 regularization use these penalties—adding the absolute value or squared magnitude of weights—to keep weights small or promote sparsity. As a technique to combat overfitting, regularization helps the model learn general patterns rather than memorizing noise in the training data.
req-0004	v2	What is cross-validation?	Cross-validation is a model evaluation technique that splits data into multiple folds to provide a more reliable estimate of performance. Specifically, in $k$-fold cross-validation, the dataset is divided into $k$ equal parts, where the model is trained on $k-1$ folds and tested on the remaining fold, repeating the process $k$ times. Variations include stratified cross-validation, which preserves the class distribution in each fold, and leave-one-out cross-validation, which uses a single sample as the validation set.
req-0005	v2	What is backpropagation?	Backpropagation is the core algorithm used to train neural networks by minimizing the loss function. It operates by applying the chain rule of calculus to compute the gradients of the loss with respect to each weight, starting from the output layer and propagating error signals backward layer by layer. These computed gradients indicate how much each weight contributed to the total error. Finally, the network's weights are updated using gradient descent or its variants, such as Adam, RMSprop, and SGD with momentum.
req-0006	v2	What are Convolutional Neural Networks primarily used for?	Convolutional Neural Networks (CNNs) are primarily used for processing grid-like data such as images, with specific applications that include image classification, object detection, semantic segmentation, and video analysis. They utilize convolutional layers to apply learnable filters that detect local features like edges, textures, and shapes. Additionally, CNNs exploit translational invariance to recognize useful feature detectors across different regions of an image.
req-0007	v2	How do LSTM networks address the vanishing gradient problem?	LSTM networks address the vanishing gradient problem through gating mechanisms that allow gradients to flow unchanged over many time steps. Specifically, the input, forget, and output gates control the information flow by regulating what is stored, discarded, or outputted from the cell state. This architectural design enables the effective handling of long-range dependencies in sequence modeling tasks.
req-0008	v1	What activation functions are commonly used in neural networks?	Common activation functions include ReLU, sigmoid, and tanh. Newer variants of activation functions include Leaky ReLU, ELU, and GELU, which are often used in transformers.
req-0009	v2	What is the role of pooling layers in CNNs?	Pooling layers in Convolutional Neural Networks perform spatial downsampling to reduce spatial dimensions and computational complexity. By using methods like max pooling or average pooling, they make the representation smaller and more manageable while retaining important features. Additionally, pooling layers help control overfitting, reduce the number of parameters and computations in subsequent layers, and provide a form of translational invariance.
req-0010	v1	What is the transformer architecture?	The transformer architecture is a deep learning model introduced in 2017 that revolutionized natural language processing by processing entire sequences in parallel. It consists of an encoder stack and a decoder stack, both built from layers of multi-head self-attention and feed-forward networks. Unlike sequential recurrent networks, transformers use self-attention mechanisms to weigh the importance of different words relative to each other, attending to all positions simultaneously.
req-0011	v1	What are word embeddings?	Word embeddings are dense vector representations of words that capture their semantic meaning. In these representations, semantically similar words are positioned geometrically close to each other. They are learned by training on large text corpora using methods such as Word2Vec, GloVe, and FastText.
req-0012	v2	What is transfer learning in NLP?	Transfer learning in natural language processing (NLP) is the dominant paradigm of pre-training large models on massive corpora and then fine-tuning them on downstream tasks. During the pre-training phase, a model trained on billions of tokens learns general language understanding representations that encode grammar, facts, and reasoning patterns. These representations are subsequently adjusted for specific tasks, such as sentiment analysis or question answering, using a small labeled dataset and minimal task-specific data.
req-0013	v1	How does BERT handle language understanding?	BERT handles language understanding through bidirectional transformer training, utilizing masked language modeling and next sentence prediction. Unlike left-to-right models, BERT predicts randomly masked tokens by using context from both the left and right. Additionally, the next sentence prediction task helps it understand the relationships between sentence pairs to capture rich contextual information.
req-0014	v2	What is self-attention in transformers?	Self-attention is the core mechanism in transformers that allows models to weigh the importance of different words relative to each other in a sequence. It achieves this by computing a weighted sum of all token representations for each token, using attention scores derived from the dot product of query and key vectors. This mechanism enables the model to process entire sequences in parallel and focus on different aspects of the input simultaneously through multi-head attention.
req-0015	v1	What is GPT and how is it trained?	GPT (Generative Pre-trained Transformer) is a family of autoregressive language models developed by OpenAI. It is trained on massive text datasets using autoregressive training to predict the next token given previous tokens. During pre-training, it uses a unidirectional transformer to predict the next word in billions of text sequences, which teaches the model grammar, facts, reasoning, and world knowledge.
req-0016	v2	What is instruction tuning?	Instruction tuning is a supervised fine-tuning technique used to make large language models (LLMs) more useful and aligned. Specifically, it involves fine-tuning pre-trained LLMs on diverse instruction-following datasets consisting of (instruction, response) pairs. This process covers various tasks like summarization, translation, question answering, and coding, ultimately teaching the model to follow natural language instructions rather than simply predicting the next token.
req-0017	v2	What is RLHF?	Reinforcement Learning from Human Feedback (RLHF) is a technique used to align large language models with human values so they are helpful, harmless, and honest. The three-step process involves fine-tuning the LLM with supervised learning on demonstrations, training a reward model on human preference comparisons, and optimizing the language model against that reward model using reinforcement learning (typically PPO). This technique has been central to the development of prominent models like ChatGPT, Claude, and Gemini.
req-0018	v1	What is chain-of-thought prompting?	Chain-of-thought prompting is a technique that improves LLM reasoning by eliciting intermediate steps and encouraging models to show their reasoning step by step. Instead of asking for a final answer directly, this approach includes examples demonstrating a reasoning process that breaks a problem into sub-steps before reaching the conclusion.
req-0019	v2	What is the context length of GPT-4?	Based on the provided context, GPT-4 supports up to 128K tokens of context. This capability enables the model to process and generate very long documents, codebases, and extended conversations without losing track of earlier information.
